Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
22-jan-2009	2	1,5	1,7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0,8	0,8	1,1	1,1	2,3	1,3	2,7	4,7	5	6,4	4,9	4,2	3,4	2,4
23-jan-2009	2,6	2,8	1,5	2	1,8	0,9	1,3	1,1	0,6	0,2	1,5	2,6	2,2	2,2	2,4	1,7	3,5	2,7	1,8	2,4	3	1,9	1,2	1,3
24-jan-2009	1,1	1	0,8	0,4	0,2	0,2	0,6	0,7	NULL	NULL	1,3	1	1,8	3,5	3,9	4,7	5,6	6,6	6	5,4	4,5	3,5	3,3	2,3
25-jan-2009	0,8	0,4	2,5	2,8	2,9	2,5	2,8	1,9	2,5	1,1	2,9	4,7	6,2	6,3	6,7	7,5	7	5,6	6,4	5,8	5,9	4,7	3,8	3,8
26-jan-2009	4	3,2	3,5	3,5	3,1	1,4	1,2	1	1,3	1,1	2,3	5,4	6	5,5	5	5,7	6,6	6,9	6,8	7,2	7,7	5,5	5,2	5,8
27-jan-2009	6,8	7	5,5	3,6	2,6	2,4	3,3	2,6	1,7	1,7	2,9	4,2	6,4	4,7	5,5	4,5	5,7	6,6	6,5	6,5	6,4	5,9	6,4	6,9
28-jan-2009	7,3	6,4	5,5	3,8	3,7	3	3,1	1,9	1,2	1,1	3,1	4,2	3,8	3,8	4,7	4,9	5,4	5,3	6,3	5,9	5	4,4	3,9	3,8
29-jan-2009	4,4	4,6	5,7	3,7	3,6	3,6	2,1	1,5	1,5	1,6	1,6	2,8	3,2	3,9	5	4,9	4,3	5,7	6,1	6,4	5,1	4,9	4	4
30-jan-2009	4,1	5,2	3,9	2,7	2,7	1,7	1,6	1,4	1,4	0,9	1,9	2,7	4,1	3,8	4,9	4,9	5,1	5,3	5,8	5,7	4,1	2,4	1,7	2,1
31-jan-2009	1,8	2,3	2,4	1,3	1,5	0,7	1,1	1	1,9	1,3	1,5	1,3	2,8	3,4	3,4	4	4,2	5,1	4,7	4,5	4,6	3,2	1,6	2,7
01-fev-2009	2,5	2,4	1	1	1,6	0,8	3,2	2,8	3,1	2,2	2,1	3,8	4,6	4,3	5,5	5,2	5	3,9	5,2	5,7	5,2	5,5	5,3	5,9
02-fev-2009	3,8	1,8	0,8	0,8	0,8	1	1	1,1	1,1	0,8	1,1	3	4	4,8	4,6	3,6	5,1	6,3	5,9	5	5	4,1	3,5	3,5
03-fev-2009	3,3	3,2	2,7	3,2	3,8	1,4	1,7	0,9	1,2	0,7	2,1	2,7	2,8	3,5	3,5	4,8	5,2	5,4	3,6	4,4	1,8	1,8	0,9	1,4
04-fev-2009	1,2	0,7	0,3	0,8	0,8	1,3	0,8	1,4	0,7	1,1	1,9	1,9	3	3,5	4,5	4,8	5,4	5,8	6,3	2,2	1,3	1,1	0,6	0,9
05-fev-2009	0,9	0,7	1,5	2	2,1	2,1	2,1	1,9	1,5	1,5	2,3	3,5	4,4	4	5,6	5,6	5,9	5,8	5	5,5	5,1	3,5	3,3	3
06-fev-2009	3,3	3,7	2,8	3,2	2,6	1,1	1,3	1,5	1,6	1,8	3	4,5	5,8	6,1	5	6,2	6	5	5,4	5,1	5,1	3,6	3	4,6
07-fev-2009	4	5,2	4,5	4,1	2,1	0,8	1	1,4	1,2	1,7	2,7	3,8	5,6	5	5,7	6	5,6	5,3	4,9	5,8	5,1	3,4	3,3	4,4
08-fev-2009	3,8	4,7	3,3	2,9	1,1	1,2	1	1,7	0,8	0,6	1,9	3,4	4,5	4,4	4	4,5	4,4	4,1	4,2	4,9	5,5	3,6	2,2	4,4
09-fev-2009	5,1	6,7	4,9	5,4	3,8	3,8	4,1	2,5	0,8	1,5	2,4	2,6	3,8	3,8	4,7	4	5,1	5,5	5,1	6,7	5,4	4,3	4,8	4,8
10-fev-2009	5,7	4,4	3,5	3,3	1,8	2,7	1,8	2,3	2,6	1,7	3	4,4	4,5	6,1	5,3	5,4	5,3	6,3	6,2	5,3	5,2	4,8	4,5	5,1
11-fev-2009	6,1	6,2	4,9	5,1	3,2	2,1	1,2	0,6	1,6	1,2	2,6	4,7	4,8	4,7	4,6	5	5,3	5,3	6,1	5,7	6	5,2	4,3	4,3
12-fev-2009	4,4	4,3	3,7	3,3	2,5	2,1	1,4	1,2	1,3	1,8	2,5	3,5	4,6	4,6	4,7	4,5	4,3	4,8	5	5	5,9	4,2	3,3	3,2
13-fev-2009	2,8	4	3,6	4,2	3,2	3,2	2,4	5,5	1,6	2	2,9	2,3	1,1	1,2	0,5	4,5	4,5	3,9	3,4	2,9	2,1	1,4	1,6	1,9
14-fev-2009	2,2	1,5	1,2	0,9	1,1	2,2	1,2	1	1,2	0,6	1,8	4,1	4	5,5	4,8	4,2	4,6	6	6,2	6	5,5	4,5	4,4	4,8
15-fev-2009	5	4,2	4,2	3,5	2,7	2,4	2,3	2,1	1,7	1,3	2,3	3,9	5,9	5	4,2	4,9	5,1	5,4	6	5,3	4,2	4,1	4,5	5
16-fev-2009	4,7	5	5,4	4,6	3,7	2,6	1,9	1,6	1,4	1,3	3,6	4,1	5	5,6	4,1	6,5	5,8	5,3	4,7	4	3,3	1,1	0,9	1
17-fev-2009	1,3	1,6	0,9	1,5	1,5	1,5	1,4	0,8	1,4	2,2	2,5	3,8	4,4	3,3	3	2,3	3,4	3	4,1	5,4	5,6	3,2	3,5	4,3
18-fev-2009	5	5,4	4,9	3,8	3,2	3	3	2	2,3	1,6	3,3	3,7	3,9	5,7	5,5	4,8	5,2	4,8	4,4	3,7	3,9	3,1	2,3	2,8
19-fev-2009	3,1	3,1	2,6	1,7	1,7	2	1,3	1,1	1	1	0,8	3,1	3,3	3,7	4,2	4,3	4,5	4,7	4,6	4,7	4,2	3	1,2	1,7
20-fev-2009	1,5	1,6	0,3	1,8	0,4	2	1,2	0,8	0,7	0,6	0,9	3,4	3,8	3	4,2	4,4	4	4,7	5,4	5,3	4,4	3,8	4,3	3,2
21-fev-2009	2,7	1,6	1	1,2	0,7	1	1,1	1,3	1	1,2	1,1	2,5	3,7	4,6	4,4	4,5	3,9	4,6	4,7	4,8	4	2,8	3,1	3,1
22-fev-2009	3,5	3,8	4,1	2,6	2,3	0,6	1,5	0,5	1,2	1,1	1,3	2,5	3	1,6	2,5	4	2,7	2,2	1,7	1,2	1,6	1,3	3,2	1,3
23-fev-2009	1,4	0,8	0,5	1,1	0,6	0,6	0,5	0,6	0,6	0,6	0,8	0,9	0,7	1,3	6,2	6,1	5	2,1	1,3	0,8	0,8	1,4	1,2	1,2
24-fev-2009	1,4	2	1,3	0,6	1,2	0,9	0,9	1,2	1,2	1,5	1,1	1,7	1,6	2,2	2,9	2,7	3,1	3,5	3,5	4,4	3,5	2,4	1,4	1,8
25-fev-2009	1,7	1,7	2	2,1	1,4	1	1,1	1	0,5	0,5	0,9	1,8	2,2	2,5	2,9	2,9	3,1	2,6	4	3,9	3,3	2,2	1,8	1,5
26-fev-2009	1,4	2,8	1,8	1,4	1,9	2,6	1,8	1,7	1,3	1,6	2,9	2,8	4,6	4,4	2,8	3,6	1,6	3,9	4,5	4,1	3,7	3	2,4	2,6
27-fev-2009	3,4	2,7	2,8	3,1	2,2	2,7	1,1	1,1	1	1,6	2	2,6	3,2	3,4	2,7	4,4	4,9	4,6	4,8	4,3	3,4	2	1,1	0,9
28-fev-2009	0,6	1,7	1,1	1,4	1,8	1,7	1,2	1,1	3,1	1,2	0,8	0,6	0,6	0,7	1,5	2	2,7	2,7	2,7	2,4	2,7	1,3	1	1,3
01-mar-2009	0,9	1,5	2	0,8	1,5	1,1	1,2	0,8	0,3	0,5	1,2	1,7	1,6	1,7	2,1	1,8	4,7	1	1,2	1,4	2,7	1,6	1,2	0,9
02-mar-2009	0,7	1,1	1	1	1	0,6	0,6	0,3	0,4	0,7	1,1	1,3	2	2,8	0,6	3,1	3,5	5,2	3,8	2,8	2,7	1,7	1	0,6
03-mar-2009	0,6	1,1	0,6	0,9	0,8	0,9	1,3	0,6	0,5	0,6	1	1,7	1,4	2,2	3	4,2	3,2	3,1	3,7	4	2,6	2,2	1,4	0,9
04-mar-2009	1,4	1	0,6	1,1	0,5	1,8	0,6	1	0,7	1	0,7	1,2	1,9	3,2	3,2	2,8	3,6	2,9	3,4	3,5	3	2,3	2,3	1,6
05-mar-2009	2,2	2,1	1,5	1,8	1,2	1,4	0,9	0,9	0,6	0,8	1,5	3	3,5	2,6	3,7	4,5	5,2	4,1	5,3	2	1,9	3,1	3	0,9
06-mar-2009	2	1,8	1,4	1,6	1,2	1,4	1,2	1	0,7	0,7	1,7	3	3,3	3,5	3,2	3,6	4	4,7	4,4	3,8	3,7	1,8	2,3	1,7
07-mar-2009	2,3	2	2	0,8	1	1,5	0,9	0,9	0,7	0,7	1,1	2,5	3,1	3,2	3,8	1,9	1,8	4	3,6	5,3	3,8	2,3	2,1	2,7
08-mar-2009	2,1	2,6	1,2	0,7	0,3	1,2	2	0,5	1	0,7	1	2	2,5	3,3	2,3	4,3	4,3	2,8	3,5	3,5	3,8	2,5	2,3	3,1
09-mar-2009	4,1	4,3	4,9	3,1	2,5	1,5	2,4	2,4	1,7	0,8	2,3	3,4	3,9	3,8	3,9	5	3,4	3,7	4,4	4,8	3,8	2,9	3,5	3,1
10-mar-2009	3,4	4,6	2,5	1,8	1,2	1,1	1,2	0,6	1,1	0,4	0,9	1,9	2,4	3,3	2,1	2,1	2,3	3,7	4,2	3,6	3,7	2,9	2,8	3,4
11-mar-2009	4,4	3,7	4,5	5,1	3,3	4,2	3,4	3	2,5	0,4	2,9	3,9	3,4	3,4	2,8	2,7	2,7	3	4,1	3,8	2,9	2,1	2,5	3,4
12-mar-2009	3,7	4,1	3,6	2,8	2,5	3,2	1,6	1,8	1,7	1,1	1,2	2	3,3	3,2	3,7	3,5	4,3	4,5	4,9	4,2	3,4	1	1,7	1,3
13-mar-2009	2,3	2,2	2,2	3,3	1,3	1,5	1,1	0,5	0,2	1,2	0,8	2,2	3,1	3,9	2,6	3,4	4,3	4,3	4,5	4,9	4,4	3,3	2,5	2,3
14-mar-2009	1,8	1,1	0,3	2,5	2,3	1,9	1,1	1,3	1,2	1	1,6	4,9	4	4,7	3,8	4	5,2	3,8	1,2	3,1	3,1	1,6	1,2	1
15-mar-2009	0,4	0,6	0,9	0,7	1	1,1	0,7	0,4	0,9	0,6	0,8	2	2,9	3,1	2,4	3,7	3,9	3,9	2,9	2,2	2	1,8	1,3	0,7
16-mar-2009	1	0,3	0,7	0,8	2,3	1	1,3	1	1,2	0,6	4,5	2,4	3,3	5,2	4,6	4	4	2,8	3,5	4,4	3,2	1,5	0,8	0,9
17-mar-2009	0,2	0,9	0,6	0,5	0,6	2,5	1,3	1	0,6	2,4	1,5	2	2,8	1,5	2,7	8,4	3,3	3	3,5	2,7	1,7	1,2	1,1	0,8
18-mar-2009	0,4	0,5	1	1	1	0,5	0,9	0,7	0,8	0,5	1,2	2,1	2,7	2,7	2,8	3,4	2,2	2,9	3,6	3,9	4,6	4,2	1,9	1,8
19-mar-2009	2,5	1,5	2,2	1,7	1,3	1	0,8	1,2	1	1	1,3	2,4	3,5	3,8	3,6	4,4	5,1	5,6	4,7	4,1	3,6	2,3	0,8	1,6
20-mar-2009	2	1,3	1,9	2,1	1,3	1,2	1,1	0,8	1,4	1,2	1,5	3,6	4,3	3,6	5	4,2	4,4	4	4	3,9	3,1	0,9	1,2	1,7
21-mar-2009	1,8	2,3	0,8	2,3	1,2	1	1,7	2,5	1,7	1,8	1,8	3,9	4,1	5,1	4,7	4,3	5,4	5,1	4,1	4,6	4,6	2,6	2,5	3,3
22-mar-2009	4,1	3,8	2,4	2,2	2,1	2,6	1,3	1,3	1	0,6	2,1	2,5	2,7	4,1	2,9	3,5	3,7	2	3	3,2	2,9	2,9	2,4	2,4
23-mar-2009	2,2	2,2	2	1,2	1,5	2,3	2,6	0,4	0,9	1,1	1,2	2,8	5,4	4,8	4,9	5,8	4,8	5,7	5,1	4,6	3,2	2,4	2,4	2,3
24-mar-2009	2,6	3,1	2	2	2,7	1,8	1,4	1,1	1,6	1,8	1,2	4,2	3,8	3,4	4,5	5,6	4,8	5	5,3	4,9	1,6	1,6	1,2	1,1
25-mar-2009	0,2	0,5	0,5	0,5	0,7	0,5	1,1	1,2	1,2	1	1,7	2	2,6	3,1	2,5	3,3	2,7	4,2	1,2	0,9	0,7	4,6	2,3	2,3
26-mar-2009	1,2	2,4	0,9	0,7	1	1,1	1,1	1,1	1,1	1,1	1,4	1,8	1,1	2,1	2,8	3,6	4,4	4,9	4,8	4,7	1,6	1	1,1	1,1
27-mar-2009	0,6	0,7	1,3	1	1,2	1	0,5	0,3	0,8	1	1,9	2,7	2,7	2,8	3,6	3,4	3,4	1,8	2,5	3,5	3,5	3,1	1,7	0,8
28-mar-2009	1,1	1,3	2,1	1,7	2,9	1,1	0,2	1,4	0,5	1	1	3,7	2,2	3,3	2	2,1	0,4	1,9	3,2	1,5	1,6	4,4	3,5	2,8
29-mar-2009	0,4	0,7	0,6	0,3	1,1	1,1	0,7	0,6	1	1,2	1	1,2	1,1	1,7	1,5	2	2,7	3,3	2,4	3,2	1,4	0,8	1	2,7
30-mar-2009	2,6	1,4	1,4	1,7	0,6	0,8	1,1	1	0,9	0,9	2	1,8	1,9	1,6	1,6	2,2	3,6	2,4	3,1	2,9	3	1,9	1,3	1
31-mar-2009	0,5	0,7	2,2	0,7	1	0,7	0,7	0,9	0,8	0,7	0,9	0,8	1,2	2,6	4,1	4,8	4,9	4,8	4,2	3,6	2,6	2,2	1,8	1,2
01-abr-2009	1	0,9	0,9	0,5	2,6	0,4	0,7	1,2	0,7	2	0,8	1,1	1,7	1,3	2,8	3,8	3,8	3,9	3,9	3,7	3,3	1,2	3	1,6
02-abr-2009	1	0,6	1	1,5	0,9	0,8	0,8	1,3	0,9	1,3	1,4	1,1	1,1	1,1	1,1	2,4	4	2,6	1,1	0,7	2,1	1,6	2,2	1,6
03-abr-2009	0,4	1	0,8	0,6	0,9	1,2	0,4	0,9	0,3	0,8	0,5	2	1,5	2,3	2,8	3,7	4,4	3,7	3,1	2,5	2	1,5	1,1	1,4
04-abr-2009	0,8	1,2	0,9	1,5	1,7	0,4	0,5	0,5	1,4	0,8	1,9	1,6	1,7	3,3	3	2,8	3,8	4,5	3,8	3,1	3,2	1,5	0,7	0,8
05-abr-2009	0,4	0,3	0,6	0,4	0,4	0,9	0,9	1,6	1,7	0,8	1	2,7	1	2,5	2,2	3,8	3,6	3,2	4,1	3,5	3,1	1,1	1,2	0,6
06-abr-2009	0,3	0,5	1,1	0,4	0,4	0,2	0,6	1,7	0,8	0,5	0,5	1,2	1	1,4	1,1	3,3	3,1	4	4,1	3,8	2,9	1,4	1	1,1
07-abr-2009	1	0,4	0,4	0,9	0,5	4,6	2	0,7	1,7	1,4	0,8	0,7	0,9	1,2	2,3	3,2	3,8	3,8	3,6	1,9	0,5	0,7	1,6	0,9
08-abr-2009	1,7	1,7	0,7	0,8	1,1	0,9	0,8	0,8	1,1	0,9	0,7	1,2	1,3	3,9	2,6	4,7	4,4	4,5	4	3,3	2,1	1,4	1	0,8
09-abr-2009	3,7	0,9	1,4	1,7	0,8	1,1	1,4	0,7	1	0,9	1,7	1,6	2	3,4	3,5	3,7	3,8	4,1	2,2	2,4	1,1	1,4	1,8	1,1
10-abr-2009	1,3	0,9	0,4	0,5	0,3	0,9	0,6	1,1	0,9	0,5	1,4	1,4	1,6	2,5	2,5	2,6	3,3	2,8	1,7	1,3	0,5	1,7	2,5	1,8
11-abr-2009	1,3	1,2	0,8	0,3	0,8	0,8	0,2	0,1	0,6	0,6	1,1	1,2	1,2	2,3	2,2	4,5	3,3	1,6	2,1	1,9	2	1,7	0,7	0,7
12-abr-2009	0,5	0,4	1,1	0,9	0,4	0,8	1,1	1,5	0,9	1	1	0,5	0,6	1,2	1,9	1,8	2,6	0,7	1,2	0,6	1	1	1,7	0,9
13-abr-2009	1,3	1,7	0,4	0,9	1,3	3,1	0,4	0,5	0,9	1,6	1	0,5	0,8	1,5	1,9	1,9	1,9	2,9	4,9	3	0,6	0,7	0,5	0,5
14-abr-2009	0,5	1,2	1	1	0,8	0,7	0,3	0,8	0,6	0,4	1	1,8	1,8	2,9	2,5	2,8	1,9	2,5	2,9	2,8	2,9	2,5	1,9	2,9
15-abr-2009	2,5	1,6	2,4	2,5	2	2,2	2	1,5	0,8	0,9	1,6	2,6	4,3	2,9	3	3,8	3,9	4	3,6	3,2	2,5	1,3	0,5	1,3
16-abr-2009	0,7	0,6	3,3	0,9	1,4	1	1,1	0,5	0,7	0,8	0,8	1	1,1	2,5	2,1	1,7	2,8	3,6	4,3	1,9	1,3	2	3,8	1,5
17-abr-2009	0,2	1,9	2,7	4	2,8	1,8	1,4	0,8	1,1	0,8	1,3	1,5	1,5	2	3,7	2,8	4,1	5,8	1,5	1,7	1,9	1,1	0,4	0,9
18-abr-2009	0,8	1,5	1,5	1,5	1,5	0,4	0,7	0,8	0,8	0,6	1,8	2,8	3,4	4	2,8	2,9	2	1,3	1,6	1,6	2,2	0,7	4,3	0,9
19-abr-2009	0,2	0,6	0,2	0,9	0,5	0,4	0,8	0,5	0,5	0,9	0,3	1,5	2,2	3,1	2,7	2,6	2,8	3,5	1,2	2,4	0,9	1,6	0,8	1,9
20-abr-2009	1,4	0,8	0,9	0,6	1,6	0,9	1,1	0,7	0,6	0,8	0,8	0,5	3,3	1,3	1,9	0,8	1	0,8	0,9	0,9	0,9	0,6	0,3	0,9
21-abr-2009	0,8	0,4	0,3	0,5	0,6	0,8	0,7	1	1,2	0,6	1	1,2	1,6	1	0,5	1	1,1	1,5	3,2	4	1,8	1,5	1,3	0,7
22-abr-2009	0,8	0,8	1	1,1	1,1	1,1	1,5	1,1	0,9	1,1	1,4	1,2	1,4	1,5	2,3	1,8	2,1	2,9	3,7	3,8	1,4	1	2,1	1,5
23-abr-2009	1,7	1,2	0,6	0,5	1,1	0,5	1,2	1,1	0,2	1,1	1,5	1,7	2	2,4	1,4	1,3	2,5	2,9	1,6	1,9	2,8	1,9	1,3	0,5
24-abr-2009	0,8	0,7	1,2	1,6	1,2	0,8	0,7	0,7	0,9	1,1	1	0,7	2	1,8	2,7	2,3	2,1	1,7	2,7	3,1	2	1,6	1,1	2,5
25-abr-2009	2,4	2	0,8	0,8	0,4	0,4	0,4	0,5	1,1	0,9	1	1,1	2,1	3,1	3,3	2,9	2,2	1,6	1,6	2,3	1,7	1,3	0,4	0,2
26-abr-2009	1	1	0,8	0,5	0,6	0,2	0,4	0,2	1,1	1,4	1,5	1,1	1	1,3	0,7	0,4	1,4	2,5	1,9	2,9	2,2	1,5	1,8	0,8
27-abr-2009	0,4	0,6	0,7	0,3	0,2	1	1,1	1,6	0,8	1,4	2,5	2,1	3,2	1,7	0,9	1,7	3,8	3,9	3,6	1,2	1,4	0,4	1,1	1,6
28-abr-2009	1	0,4	0,9	0,8	0,7	0,9	1	0,9	0,6	0,9	1,3	0,9	1,2	0,7	2,8	2,9	3	2,9	2,5	2,6	3	1,8	1,3	0,8
29-abr-2009	0,8	0,6	0,3	0,7	0,1	0,2	0,4	0,3	0,4	0,9	0,5	1,1	1,1	1,7	1,6	1,8	1,9	3,4	2,9	2,5	1,4	0,6	0,3	0,3
30-abr-2009	2,4	1,1	0,5	1,1	1	0,4	0,7	0,7	0,5	0,6	1,2	1,2	2	1,6	1,4	1,5	2,6	2,9	3,2	2,9	1,5	0,5	1,4	1,4
01-mai-2009	1,1	0,9	0,7	0,5	0,8	0,5	0,5	0,9	1,3	0,5	1,4	1,3	0,6	1,8	1,6	0,8	3,4	3	2,3	2,2	1	1,4	1	0,8
02-mai-2009	0,2	0,5	0,6	0,7	0,4	0,6	0,7	0,2	0,2	0,5	0,8	1,7	2,4	2,5	2	2,4	1,9	2,2	1,9	1,2	1,2	1,3	0,5	1,5
03-mai-2009	1,6	1	2,3	1,6	2	3,1	0,7	1,1	2,1	2	1	2,1	1,2	0,4	1,5	1,1	1,9	2	2,3	1,1	1	0,9	0,5	0,3
04-mai-2009	0,4	0,5	0,7	0,6	1	0,5	0,6	0,8	1	0,7	1,2	2,5	1,6	2,8	2,4	2,7	1,8	2,1	1,6	1,5	1,9	1,5	1,8	1,6
05-mai-2009	1,5	1,9	3,3	1,8	2,6	0,8	2,8	1,1	0,7	0,9	1,3	1,5	1,2	1,3	1,6	1,8	2,3	1,9	2,2	2,2	0,6	0,9	0,2	0,4
06-mai-2009	0,9	1,4	4,7	1,5	0,6	0,5	1	0,6	0,4	1,6	0,3	1	1,7	1	3	3,4	2	2,9	3,4	3,2	2,1	1,3	1,3	0,6
07-mai-2009	0,4	0,7	0,7	0,3	0,7	1,1	0,1	1,4	0,7	1,2	1,5	1,8	1,7	2,1	2,3	2	2,9	2,4	3,5	2,6	2,5	1	0,9	0,4
08-mai-2009	0,1	0,7	2,2	0,6	0,9	1,3	0,4	0,6	0,5	1,1	1,4	3,4	3	3,3	3,9	4,5	4,5	3,9	3,7	2,9	2,2	1,7	1,4	0,4
09-mai-2009	0,9	1,4	0,6	0,4	1,1	0,8	0,8	0,5	0,8	0,7	0,8	0,7	1,6	1,4	3,3	2,7	2,3	3,2	3,9	2,6	2	0,8	1	0,4
10-mai-2009	1,1	2,3	0,9	0,9	2,2	0,5	0,6	1,2	0,5	0,5	1,5	2,1	1,9	1,7	1,7	1,3	0,9	3	3,4	2,3	1,5	1,4	0,6	1
11-mai-2009	2,1	0,9	4,4	1,8	0,6	0,6	0,7	1	0,5	1,6	0,9	1,2	0,6	1,7	1,8	1,5	1,3	1,6	1	0,7	1,3	1,4	0,8	0,8
